#separator:tab
#html:false
#notetype:Levantine Grammar
#deck:Levantine Arabic::Part 1 Grammar
#tags column:5
#columns:Question	Rule	Examples	Watch out for	Tags
When do you use ما and when do you use مو?	ما negates verbs only. مو negates adjectives and nouns.	ما بِدّي اِدْرُس; ما بِدَّك قَهْوِة!; نِحْنا مو جوعانين; البيت مو جْديد; هادا مو كْتاب; هَيْ مو سَيّارْتي	The made-up verbs بدّ، عند، مع count as verbs, so they take ما: ما عندكن فحص بكرة.	P1L3 negation
What does the preposition مع really do?	مع means with and takes the possessive endings. مع + ending both means to have with you and with me / you / him.	مَعي الدَّفْتَر = الدَّفْتَر مَعي (I have the notebook); ما مَعَك الكْتاب = الكْتاب مو مَعَك; بِدّي روح مَعَك; مين مَعُه؟	Notice the negation switches: ما for the verb reading, مو for the with-me reading.	P1L3 prepositions
What are the six question words from lesson 4?	شو (what), ليش (why), ايمتى (when), وين (where), كيف (how), مين (who).	شو لُغَتْكُن؟; ليش بِدَّك تْروحي؟; إيمْتى الفَحِص؟; وين المَشْفى؟; مين جوعان؟; كيف صوفْيا؟	قديش (how much / how old) also appears: قديش عمر مرح؟	P1L4 question-words
Which person do you conjugate after مين?	Always use the هو form after مين.	مين بِدُّه كْتاب؟; مين عِنْدُه بيت؟; مين مَعُه قَلَم؟	Don't use أنا or انتَ endings here, even though you are asking about an unknown person.	P1L4 question-words
How is the present tense conjugated for نحنا، هي، هو، هن?	نحنا takes ن, هي takes ت, هو takes ي, هن takes ي + و.	شوف: نْشوف (نِحْنا) / تْشوف (هَيْ) / يْشوف (هُوِّ) / يْشوفو (هِنِّ)	هي and انتَ share the same ت form, so context tells you which one is meant.	P1L4 present-tense
What happens to أب and أخ with possessive endings?	They change to أبو and أخو before every ending except my.	أَبي، أَبوك، أَبوكي، أَبوكُن، أَبونا، أَبوه، أَبوها، أَبوهُن — أَخي، أَخوك، أَخوكي، أَخوكُن، أَخونا، أَخوه، أَخوها، أَخوهُن	Only the أنا form keeps the short stem: أبي، أخي.	P1L4 family
Which family nouns are feminine even without a ة?	ست (grandmother), إم (mother), إخت (sister), بنت (daughter / girl) are all feminine despite having no ة.	إِخْتي كْبيرَة; سِتّي حِلْوِة; بِنْتْهُن صْغيرَة	Among the family words only عيلة has a ة, so only عيلة changes to ت with a possessive: عيلتي.	P1L4 family
How do you say must, should or have to?	Use لازم. It is never conjugated — you conjugate only the verb that follows it. Negate it with ما before لازم.	لازِم تِدْرُس عَرَبي; لازِم روح هَلَّق; ما لازِم نْسافِر عَلى سوريا; لازِم أَعْرِف ليش بِدَّك تْسافِر	One word covers must, should and have to, so the strength comes from context, not from the word.	P1L5 modals
How do you say can?	Use فين. It is a made-up verb like بدّ and عند, so it takes the possessive endings rather than verb conjugations.	فيني، فينَك، فينَك، فينْكُن (فيكُن)، فينا، فينُه، فينْها، فينْهُن (فيهُن) — فينَك تْروح مَعي عَالسينَما؟; ما فيني اِدْرُس اليوم; ليش ما فينُه يْعيش بِالمَغْرِب؟	Being a made-up verb it is negated with ما, not مو: ما فيني.	P1L5 modals
What is the difference between أو and ولّا?	Both mean or. أو is the general one, used with nouns; ولّا is mostly used when the choice is between verbs.	بِدَّك قَهْوِة أَو / وَلا شاي؟; بِدَّك تْروح وَلا تِدْرُس؟; بِدَّك تْزور مَدْريد وَلا بَرْشَلونا؟	With two verbs, prefer ولّا.	P1L5 conjunctions
What are the three meanings of بس?	but, only, and when. Position and context tell them apart: before a verb it usually means only or when, between two clauses it means but.	أَنا تَعْبان بَس ما بِدّي نام (but); لازِم بَس نِحْكي عَرَبي (only); لازِم نْروح عَباريس بَس نْزور فَرَنْسا (when)	Don't assume but every time — لازم بس نحكي عربي means we should only speak Arabic.	P1L5 conjunctions
How do you say either … or, and neither … nor?	either … or is يا … يا …, repeated before each option. neither … nor is لا … ولا …, and Arabic additionally requires ما on the verb.	يا مايْك يا ليزا; ما لازِم يْسافْرو لا عَاليَمَن وَلا عَالعِراق; ما بِدْنا لا نْعيش وَلا نِشْتِغِل بْميامي; لا إِمّي وَلا أَبي بِدْهُن يْسافْرو	English hides the negation inside neither, but Arabic still needs ما — dropping it is the classic mistake here.	P1L5 conjunctions
Where does كمان go in the sentence?	After the element it adds to — usually the subject — and before the verb.	أَنا كَمان بِدّي روح; و أَنا كَمان بِدّي روح عَالمَكْتَبِة; أَنا كَمان عِنْدي جامْعَة بُكْرَة	It doesn't go at the end of the sentence the way also often does in English.	P1L5 conjunctions
How do you build an indirect question?	Keep the question word and the word order of the direct question exactly as they are, and put a knowing verb (عرف) in front, conjugated with لازم، بدّ or فين.	وين البَنْك؟ → فينا نَعْرِف وين البَنْك; ليش بِدَّك تْسافِر ع أَمْريكا؟ → لازِم أَعْرِف ليش بِدَّك تْسافِر ع أَمْريكا; مين جوعان؟ → بِدْنا نَعْرِف مين جوعان	Nothing is reordered and no extra word like if or that is inserted — the direct question is simply attached.	P1L5 indirect-questions
How do you say something is happening right now?	Put عم before the present tense verb. Negate with ما before عم.	عَم تِدْرُس ألْماني وَلا بِدَّك تْسافِر عَلى ألْمانْيا؟; أَنا اِشْرَب (I drink) → أَنا عَم اِشْرَب (I'm drinking); أَنا ما عَم اِدْرُس عَرَبي	Without عم, the present form is a habit, and what you use after بدّ، لازم، فين — it is not by itself a statement about right now.	P1L5 present-tense progressive
