#separator:tab
#html:false
#notetype:Levantine Vocab
#deck:Levantine Arabic::Lesson Notes
#tags column:7
#columns:Arabic	Transliteration	English	Notes	Example (Arabic)	Example (English)	Tags
شكراً	shukran	thank you	شكراً كتير = thanks a lot	شكراً كتير	Thanks a lot.	basics
عفواً	'afwan	you're welcome / excuse me	both meanings	عفواً، فيني روح معك؟	Excuse me, can I go with you?	basics
لو سمحت	law samaht	please / excuse me	used to make a request	لو سمحت، ممكن الفاتورة؟	Excuse me, may I have the bill?	basics
ممكن	mumken	may I / can I / maybe		ممكن أعرف وين مشفى برلين؟	May I know where Berlin hospital is?	basics
مرة تانية	marra taanye	one more time	for asking someone to repeat	مرة تانية، لو سمحت	One more time, please.	basics
ما بعرف	ma ba'ref	I don't know		ما بعرف	I don't know.	basics
صفر	sefr	zero		صفر	zero	numbers
واحد	waahed	one		عندي أخ واحد	I have one brother.	numbers
اتنين	etneen	two	التنين also means both	التنين	both	numbers
تلاتة	tlaate	three		تلات ساعات	three hours	numbers
أربعة	arba'a	four		أربع مرات	four times	numbers
خمسة	khamse	five		خمس دقايق	five minutes	numbers
ستة	sette	six		ستة	six	numbers
سبعة	sab'a	seven		سبعة	seven	numbers
تمانة	tmaane	eight		تمانة	eight	numbers
تسعة	tes'a	nine		تسعة	nine	numbers
عشرة	'ashra	ten		عشرة	ten	numbers
إيدعش	eda'esh	eleven		إيدعش	eleven	numbers
إطنعش	etna'esh	twelve		إطنعش	twelve	numbers
تلات طعش	tlat ta'esh	thirteen	pattern: unit + طعش for 13–19	تلات طعش	thirteen	numbers
عشرين	'eshriin	twenty	tens: تلاتين، أربعين، خمسين، ستين، سبعين، تمانين، تسعين	واحد وعشرين	twenty-one	numbers
مية	miyye	hundred		مية	one hundred	numbers
دقيقة	da'ii'a	minute	plural دقايق	خمس دقايق	five minutes	time
ساعة	saa'a	hour	plural ساعات; also means clock / watch	تلات ساعات	three hours	time
شهر	shahr	month	plural شهور	الشهر الجاي	next month	time
وقت	wa'et	time		كل الوقت	all the time	time
مرات	marraat	times (occurrences)	used when counting occasions	أربع مرات	four times	time
مبارح	mbaareh	yesterday		مبارح	yesterday	time
بالليل	bel-leel	at night		بحب سافر بالليل	I like to travel at night.	time
بعدين	ba'deen	later / afterwards		بعدين	later	time
من زمان	min zamaan	for a long while		من زمان	It's been a long time.	time
الشهر الجاي	esh-shahr ej-jaay	next month	الجاي = coming	الشهر الجاي	next month	time
أول شي	awwal shi	first / first of all	sequencing word	أول شي	first of all	time
هون	hoon	here		قريب من هون	close to here	place-adverbs
هنيك	hniik	there		هنيك	over there	place-adverbs
جنب	janb	next to		المشفى جنب حديقة برلين	The hospital is next to Berlin park.	place-adverbs
سوا	sawa	together		يلّا نروح سوا	Let's go together.	place-adverbs
هاي	haay	this (f)		هاي سيّارة	This is a car.	demonstratives
هدول	hadool	these (plural)		هدول دفاتري	These are my notebooks.	demonstratives
هداك	hadaak	that (m)		هداك ابني	That is my son.	demonstratives
هديك	hadiik	that (f)		هديك البنت	That girl.	demonstratives
هدوك	hadook	those (plural)		هدوك	those	demonstratives
سوري	suuri	Syrian	f. سورية; country سوريا	مطعم سوري	a Syrian restaurant	nationalities
لبناني	lebnaani	Lebanese	f. لبنانية; country لبنان	هو لبناني	He is Lebanese.	nationalities
أمريكي	amriiki	American	f. أمريكية; country أمريكا	انت أمريكي؟	Are you American?	nationalities
فلسطيني	felestiini	Palestinian	f. فلسطينية; country فلسطين	هي فلسطينية	She is Palestinian.	nationalities
مصري	masri	Egyptian	f. مصرية; country مصر	هو مصري	He is Egyptian.	nationalities
كندي	kanadi	Canadian	f. كندية; country كندا	هي كندية	She is Canadian.	nationalities
روسي	ruusi	Russian	f. روسية; country روسيا	هو روسي	He is Russian.	nationalities
الشامية	esh-shaamiyye	Levantine (the dialect)	الشام = Damascus, also دمشق	اللهجة الشامية	the Levantine dialect	nationalities
مفتاح	meftaah	key		هادا مفتاحي	This is my key.	objects
غراض	ghraad	stuff / things / products		هدول غراضي	These are my things.	objects
تياب	tyaab	clothes		هدول تيابي	These are my clothes.	objects
تخت	takhet	bed		أنا نام بالتخت	I sleep in the bed.	objects
ماي	maay	water		بدّي ماي	I want water.	objects
تلفزيون	telfezyoon	television		أنا شوف تلفزيون	I watch TV.	objects
بيسكليت	bisiklet	bicycle		انت عندك بيسكليت	You have a bicycle.	objects
تاكسي	taksi	taxi		يلّا نروح بالتاكسي	Let's go by taxi.	objects
الشب	esh-shabb	the guy / young man	plural شباب; يا شباب = guys	هداك الشب	that guy	people
صبايا	sabaaya	girls / young women	يا صبايا or يا بنات = girls	يا صبايا	Girls!	people
رفقات	rf'aat	friends	plural of رفيق	رفقاتي	my friends	people
الغرصون	el-gharsoon	the waiter	from French garçon	الغرصون: أهلا وسهلا	The waiter: welcome.	restaurant
أستاذ	ustaaz	sir / teacher	polite address to a man	واِنت أستاذ؟	And you, sir?	restaurant
حبيبي	habiibi	my love / dear (m)	f. حبيبتي	يلّا حبيبتي نروح عالمطعم	Let's go to the restaurant, my love.	people
متجوّز	metjawwez	married	f. متجوزة، pl. متجوزين	أنا متجوّز	I am married.	people
شركة	shareke	company		أنا اشتغل بشركة	I work at a company.	work
مبرمج	mbarmej	programmer	f. مبرمجة	أنا اشتغل مبرمج	I work as a programmer.	work
مديرة مشاريع	mudiirat mashaarii'	project manager	m. مدير مشاريع	أنا اشتغل مديرة مشاريع	I work as a project manager.	work
وظيفة	waziife	homework / job		الوظيفة	the homework	work
درّس	darres	to teach	أنا درّس = I teach	أنا درّس عربي	I teach Arabic.	work
مشغول	mashghuul	busy	f. مشغولة	أنا مشغول اليوم	I'm busy today.	adjectives
كسلان	kaslaan	lazy	f. كسلانة	هو كسلان	He is lazy.	adjectives
فاضي	faadi	free / empty	f. فاضية	هاي طاولة فاضية	This is a free table.	adjectives
سهل	sahl	easy	comparative أسهل	العربي مو سهل	Arabic isn't easy.	adjectives
صعب	sa'b	difficult	comparative أصعب	صعب	difficult	adjectives
حامي	haami	hot	comparative أحمى	الشاي حامي	The tea is hot.	adjectives
ذكي	zaki	smart	comparative أذكى	هو ذكي	He is smart.	adjectives
غبي	ghabi	stupid	comparative أغبى	غبي	stupid	adjectives
أكبر	akbar	bigger / older	comparative of كبير	برلين أكبر من هامبورغ	Berlin is bigger than Hamburg.	comparatives
أصغر	azghar	smaller / younger	comparative of صغير	أصغر مني	younger than me	comparatives
أطول	atwal	taller / longer	comparative of طويل	أطول	taller	comparatives
أقصر	a'sar	shorter	comparative of قصير	أقصر	shorter	comparatives
أجدد	ajdad	newer	comparative of جديد	أجدد	newer	comparatives
أقدم	a'dam	older (things)	comparative of قديم	أقدم	older	comparatives
أغلى	aghla	more expensive	comparative of غالي (vowel-final pattern)	أغلى	more expensive	comparatives
أحلى	ahla	more beautiful	comparative of حلو	أحلى	more beautiful	comparatives
أحسن	ahsan	better		أحسن	better	comparatives
أبرد	abrad	colder		أبرد	colder	comparatives
رح	rah	will (future marker)	رح + present verb	نحنا رح نسافر ع إسبانيا	We will travel to Spain.	grammar-words
مش	mesh	not	same function as مو, negates nouns and adjectives	مش جوعان	not hungry	grammar-words
مشان	mishaan	for / in order to	takes endings: مشاني، مشانك، مشانه	هاي القهوة مشانك	This coffee is for you.	grammar-words
لأنّه	la-innu	because		لأنّه كتير طيّب	Because it's very delicious.	grammar-words
حسب	hasab	it depends / according to		حسب	It depends.	grammar-words
شوي	shwayy	a little / a few	opposite of كتير	استنّى شوي	Wait a little.	grammar-words
كل شي	kell shi	everything	كل = every	كل شي تمام	Everything is fine.	grammar-words
والله	wallah	really / I swear		والله	I swear!	grammar-words
لمّا	lamma	when (not a question)	introduces a clause, unlike إيمتى	شو بتحب تساوي لمّا انت فاضي؟	What do you like to do when you're free?	grammar-words
بفضّل	bfaddel	I prefer		أنا بفضّل القهوة	I prefer coffee.	verbs
بحب	bhebb	I like / I love		أنا بحب سافر ع إسبانيا	I like to travel to Spain.	verbs
اعرف	a'ref	I know	تعرف، نعرف، يعرف; negative ما بعرف	بدّه يعرف مين بالمكتب	He wants to know who is in the office.	verbs
إجا	eja	to come	present يجي / تجي	بدّك تجي؟	Do you want to come?	verbs
امشي	emshi	to walk		امشي	walk	verbs
اقرا	e'ra	to read		أنا اقرا	I read.	verbs
ارقص	er'os	to dance		أنا ارقص	I dance.	verbs
اطبخ	etbokh	to cook		أنا اطبخ	I cook.	verbs
اسمع	esma'	to listen / to hear		أنا اسمع موسيقى	I listen to music.	verbs
حاول	haawel	to try		أنا حاول	I try.	verbs
تحل	thell	to solve		بدّي حل الوظيفة	I want to solve the homework.	verbs
ضل	dall	to stay / remain		أنا عم ضل بالبيت	I'm staying at home.	verbs
اشتقت	eshta'et	I missed (someone)		أنا اشتقت	I missed you.	verbs
اشتري	eshtri	to buy		بدّك تشتريها؟	Do you want to buy it?	verbs
اعطيني	a'tiini	give me	command + object pronoun ني	اعطيني الشاي لو سمحت	Give me the tea, please.	object-pronouns
خدني	khedni	take me	from آخد	خدني عالبيت	Take me home.	object-pronouns
شوفني	shoofni	see me	object endings: ني، ك، ك، كن، نا، ه، ها، هن	إيمتى بدّك تشوفيني؟	When do you want to see me?	object-pronouns
ساعدك	saa'dak	help you (m)	object pronoun on a verb	كيف فيني ساعدك؟	How can I help you?	object-pronouns
نايم	naayem	sleeping	active participle; f. نايمة	هو نايم	He is sleeping.	participles
عايش	'aayesh	living	active participle; f. عايشة	هي عايشة ببرلين	She lives in Berlin.	participles
مناقيش	manaa'iish	manakish (flatbread)	مناقيش زعتر، مناقيش محمرة	بدّي مناقيش زعتر	I want zaatar manakish.	restaurant
زعتر	za'tar	thyme / zaatar		مناقيش زعتر	zaatar manakish	restaurant
محمرة	muhammara	muhammara (red pepper dip)		مناقيش محمرة	muhammara manakish	restaurant
مسبحة	msabbaha	msabbaha (chickpea dish)		بدّي مسبحة	I want msabbaha.	restaurant
كاسة	kaase	glass / cup		كاسة شاي كبيرة	a large glass of tea	restaurant
لشخصين	la-shakhseen	for two people	شخص + dual ين	بدنا طاولة لشخصين	We want a table for two.	restaurant
تفضّلوا	tfaddalu	come in / here you are / go ahead	singular تفضّل	تفضّلوا الفاتورة	Here is the bill.	restaurant
شو بتحبوا تطلبوا	shu bethebbu tetlobu	what would you like to order	طلب = to order	شو بتحبوا تطلبوا؟	What would you like to order?	restaurant
حليب	haliib	milk		بدّي حليب	I want milk.	grocery
خضرة	khedra	vegetables		بدّي خضرة	I want vegetables.	grocery
فواكه	fawaakeh	fruit		فواكه	fruit	grocery
سكر	sekkar	sugar		قهوة بلا سكر	coffee without sugar	grocery
خبز	khebez	bread		بدّي خبز	I want bread.	grocery
لحمة	lahme	meat		كتير لحمة	a lot of meat	grocery
جاج	jaaj	chicken		بدّي جاج	I want chicken.	grocery
سمك	samak	fish		سمك	fish	grocery
زيت	zeyt	oil		زيت	oil	grocery
بيض	beed	eggs		بيض	eggs	grocery
بندورة	banadoura	tomato		بندورة	tomato	grocery
حمّص	hommos	chickpeas / hummus		الحمّص أطيب أكل عربي	Hummus is the most delicious Arabic food.	grocery
عدس	'adas	lentils		شوربة عدس	lentil soup	grocery
شوربة	shoorba	soup		شوربة	soup	grocery
جبنة	jebne	cheese		جبنة	cheese	grocery
حديقة	hadii'a	park / garden		حديقة برلين	Berlin park	place-adverbs
سلامتك	salaamtak	get well (m)	said to someone sick; reply الله يسلمك	سلامتك	Get well.	expressions
الله يسلمك	allah ysallmak	God preserve you	reply to سلامتك	الله يسلمك	God preserve you.	expressions
صحة	sahha	health / bless you	said after a sneeze, and as a toast	صحة	Bless you.	expressions
صحتين	sahteen	bon appétit	literally two healths	صحتين	Enjoy your meal.	expressions
عقلبك	'a-albak	you're welcome (in response to thanks for food)	literally on your heart	عقلبك	You're welcome.	expressions
بالتوفيق	bet-tawfii'	good luck		بالتوفيق	Good luck.	expressions
مبروك	mabruuk	congratulations		مبروك	Congratulations.	expressions
عطلة حلوة	'otle helwe	have a nice weekend / holiday		عطلة حلوة	Have a nice weekend.	expressions
رمضان كريم	ramadaan kariim	Ramadan greeting	reply: رمضان مبارك	رمضان كريم	Generous Ramadan.	expressions
كل عام وانتو بخير	kell 'aam w entu bkheer	happy holidays	reply: وانتو بخير	كل عام وانتو بخير	Happy holidays.	expressions
ماشي	maashi	alright / fine		ماشي	Alright.	expressions
صرلي	sarli	I have been (for a duration)	takes endings: صرلي، صرلك، صرله	صرلي بالبيت تلات ساعات	I have been at home for three hours.	expressions
قدّيش	'addeesh	how much / how long		قدّيش صرلك عم تشرب قهوة؟	How long have you been drinking coffee?	expressions
كم	kam	how many	followed by a singular noun	كم أخ وإخت عندك؟	How many siblings do you have?	expressions
